Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
LMR0004_S4_R1_001_host_removed_R1	16.90756186	44	143.1907119	18.18181818	5818684
LMR0004_S4_R1_001_host_removed_R2	16.79845897	44	143.0485801	27.27272727	5818684
LMR0006_S281_R1_001_host_removed_R1	3.241130654	37	113.9183133	18.18181818	247727
LMR0006_S281_R1_001_host_removed_R2	3.278965921	37	114.2567988	27.27272727	247727
LMR0007_S17_R1_001_host_removed_R1	17.16566171	46	146.2663543	9.090909091	9055879
LMR0007_S17_R1_001_host_removed_R2	17.21460338	46	146.1788875	18.18181818	9055879
LMR0008_S47_R1_001_host_removed_R1	46.77952932	35	142.3337116	18.18181818	11907696
LMR0008_S47_R1_001_host_removed_R2	46.94263438	35	142.3057466	27.27272727	11907696
LMR0009_S31_R1_001_host_removed_R1	56.29598452	35	146.778129	18.18181818	8972895
LMR0009_S31_R1_001_host_removed_R2	56.16328354	35	146.7242492	27.27272727	8972895
LMR0011_S49_R1_001_host_removed_R1	22.50966866	40	139.2113778	18.18181818	9867879
LMR0011_S49_R1_001_host_removed_R2	22.6556901	40	139.4859838	27.27272727	9867879
LMR0012_S52_R1_001_host_removed_R1	60.92508607	32	143.9454684	18.18181818	8458142
LMR0012_S52_R1_001_host_removed_R2	60.82881277	32	143.7756727	27.27272727	8458142
LMR0017_S44_R1_001_host_removed_R1	19.7473575	44	142.3040526	9.090909091	10157853
LMR0017_S44_R1_001_host_removed_R2	19.99147339	44	142.622491	18.18181818	10157853
LMR0021_S13_R1_001_host_removed_R1	26.35819046	44	147.0655921	9.090909091	8767860
LMR0021_S13_R1_001_host_removed_R2	26.01752697	44	146.5946345	18.18181818	8767860
LMR0022_S46_R1_001_host_removed_R1	23.65308775	38	142.9655079	18.18181818	8907258
LMR0022_S46_R1_001_host_removed_R2	23.58189472	38	142.979589	27.27272727	8907258
LMR0023_S24_R1_001_host_removed_R1	17.31941687	47	147.056331	9.090909091	7248626
LMR0023_S24_R1_001_host_removed_R2	17.19257478	47	146.8407428	18.18181818	7248626
LMR0024_S32_R1_001_host_removed_R1	19.15073042	46	146.225027	9.090909091	9632197
LMR0024_S32_R1_001_host_removed_R2	19.1259842	46	146.3696309	18.18181818	9632197
